Price,Metro station,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Apartment_type_Digit,Region_Digit,Renovation_N_Cosmetic,Renovation_N_Designer,Renovation_N_European-style renovation,Renovation_N_Without renovation,Living_share,Kitchen_share,Is_first_floor
7500000.0, Опалиха,6.0,1.0,34.0,14.0,10.0,20.0,27,0,0,1,0,0,0,0.4117647058823529,0.29411764705882354,0
7500000.0, Красногорская,4.0,1.0,34.6,20.0,7.0,12.0,12,0,0,0,0,1,0,0.5780346820809248,0.20231213872832368,0
7590000.0, Опалиха,6.0,1.0,35.5,19.0,9.0,8.0,25,0,0,0,0,1,0,0.5352112676056338,0.2535211267605634,0
7600000.0, Красногорская,6.0,1.0,39.0,17.0,9.0,3.0,18,0,0,1,0,0,0,0.4358974358974359,0.23076923076923078,0
7720000.0, Опалиха,5.0,1.0,46.8,22.3,7.7,1.0,10,0,0,1,0,0,0,0.4764957264957265,0.16452991452991456,1
7700000.0, Опалиха,7.0,1.0,38.8,14.1,13.3,24.0,25,0,0,1,0,0,0,0.36340206185567014,0.34278350515463923,0
7650000.0, Опалиха,6.0,1.0,38.1,18.0,10.0,20.0,26,0,0,0,0,1,0,0.47244094488188976,0.26246719160104987,0
7750000.0, Опалиха,7.0,1.0,34.6,17.0,10.0,25.0,26,0,0,0,0,1,0,0.4913294797687861,0.2890173410404624,0
7800000.0, Красногорская,6.0,1.0,40.4,16.3,11.1,1.0,17,0,0,1,0,0,0,0.4034653465346535,0.2747524752475248,1
7800000.0, Аникеевка,6.0,1.0,39.5,16.6,12.0,20.0,26,0,0,1,0,0,0,0.42025316455696204,0.3037974683544304,0
7750000.0, Красногорская,38.0,1.0,41.1,20.0,10.0,8.0,14,0,0,1,0,0,0,0.48661800486618,0.24330900243309,0
7800000.0, Опалиха,6.0,1.0,37.0,15.2,9.1,24.0,26,0,0,0,1,0,0,0.4108108108108108,0.24594594594594593,0
7950000.0, Павшино,11.0,1.0,33.4,17.0,9.4,2.0,8,0,0,0,0,1,0,0.5089820359281437,0.281437125748503,0
7900000.0, Павшино,7.0,1.0,36.0,20.0,8.0,3.0,4,0,0,0,0,1,0,0.5555555555555556,0.2222222222222222,0
7900000.0, Опалиха,16.0,1.0,34.1,16.3,9.0,1.0,8,0,0,0,0,1,0,0.4780058651026393,0.26392961876832843,1
7999000.0, Опалиха,12.0,1.0,33.7,19.2,9.4,10.0,12,0,0,0,0,1,0,0.5697329376854599,0.27893175074183973,0
